Language,MeanMemTaken
ADA,2.896
ASM,6.057
BASH,4.858
BF,1.447
C,5.041
C#,28.775
C++,10.316
C++ 4.0.0-8,7.784
C++ 4.3.2,12.959
C++ 4.8.1,11.522
C++ 4.9.2,13.312
C++ 4.ewplaintext/11967296,2.6
C++11,14.507
C++14,17.454
C99 strict,4.008
CAML,6.735
CLOJ,217.126
CLPS,1.375
D,4.375
ERL,10.181
F#,41.349
FORT,4.321
GO,436.758
HASK,18.668
ICK,1.36
JAR,1.7
JAVA,863.464
JS,192.849
LISP clisp,13.942
LISP sbcl,67.045
LUA,4.606
NODEJS,56.72
PAS fpc,26.335
PAS gpc,4.678
PERL,28.629
PERL6,194.4
PHP,31.26
PYPY,37.745
PYTH,10.175
PYTH 3.1.2,10.488
PYTH 3.4,9.484
RUBY,10.707
SCALA,228.873
SCM guile,4.65
SCM qobi,16.8
TCL,10.813
TEXT,1.209
WSPC,2.333
